"Nummers"	"Vindplaats"	"Caka"	"Sources"
"905"	"Besakih A"	"1366"	"Goris (1954: 347)"
"906"	"Besakih B"	"1380"	"Goris (1954: 347)"
"907"	"Selat B. (Ida R. Putra)"	"1393"	"Goris (1954: 347)"
"908"	"Besakih C. (P. Ratu Madeg)"	"-"	"Goris (1954: 347)"
"909"	"Sebudi"	"1757?"	"Goris (1954: 347)"
"1001"	"Manikliu E. Lambean B"	"-"	"Goris (1954: 347)"
"1002"	"Sibang Kadja"	"-"	"Goris (1954: 347)"
"1003"	"Lukluk"	"-"	"Goris (1954: 347)"
"1004"	"Ngis"	"-"	"Goris (1954: 347)"
"1005"	"Bebetin B"	"-"	"Goris (1954: 347)"
"1006"	"Tjempaga B"	"-"	"Goris (1954: 347)"
"1007"	"Teba kau C"	"-"	"Goris (1954: 347)"
"1008"	"Klungkung D"	"-"	"Goris (1954: 347)"
"1009"	"Angsari C"	"-"	"Goris (1954: 347)"
"1010"	"Mantring D"	"-"	"Goris (1954: 347)"
"1011"	"Gobleg, p. Batur B"	"-"	"Goris (1954: 347)"
"1012"	"Sumantaja"	"-"	"Goris (1954: 347)"
"1013"	"Frankfurt a. Main == Y 4"	"-"	"Goris (1954: 347)"
"1014"	"Manik liu F ?"	"-"	"Goris (1954: 347)"
